date,price
0,765.56
1,767.03
2,755.05
3,784.93
4,787.75
5,771.88
6,742.38
7,739.01
8,719.07
9,743.24
10,746.49
11,756.4
12,760.16
13,780.0
14,785.33
15,780.12
16,780.37
17,766.77
18,762.52
19,750.57
20,743.65
21,740.34
22,759.36
23,764.72
24,770.42
25,767.33
26,768.66
27,760.12
28,774.34
29,768.82
30,761.0
31,757.77
32,766.0
33,771.22
34,770.6
35,766.34
36,760.59
37,771.4
38,772.13
39,765.15
40,749.87
41,753.67
42,757.18
43,780.45
44,795.99
45,796.92
46,795.9
47,799.02
48,813.64
49,817.14
50,809.72
51,807.48
52,809.04
53,808.33
54,817.88
55,822.44
56,836.52
57,839.15
58,835.77
59,830.38
60,823.48
61,832.35
62,839.95
63,810.2
64,807.64
65,812.5
66,819.71
67,821.36
68,827.46
69,836.53
70,836.39
71,842.7
72,844.14
73,845.07
74,856.44
75,855.61
76,852.19
77,845.24
78,848.64
79,845.04
80,853.08
81,848.91
82,849.88
83,846.61
84,846.02
85,850.5
86,853.0
87,852.46
88,854.59
89,852.53
90,852.97
91,853.42
92,852.31
93,856.97
94,843.2
95,848.06
96,847.38
97,845.61
98,846.82
99,856.0
100,874.32
101,876.34
102,886.54
103,891.51
104,906.83
105,909.28
106,898.28
107,894.88
108,907.04
109,902.36
110,896.23
111,884.67
112,901.99
113,903.78
114,899.2
115,902.06
116,898.53
117,907.41
118,907.62
119,909.29
120,918.38
121,924.99
122,948.23
123,946.94
124,941.03
125,937.53
126,934.15
127,949.04
128,952.82
129,948.95
130,947.62
131,961.35
132,957.97
133,966.07
134,944.76
135,958.49
136,959.84
137,970.67
138,971.54
139,980.35
140,993.38
141,995.78
142,996.7
143,994.62
144,995.95
145,1006.73
146,1011.34
147,1003.0
148,1010.07
149,1010.27
150,978.31
151,964.91
152,980.79
153,976.47
154,964.17
155,987.71
156,995.17
157,992.59
158,1002.23
159,1001.3
160,1003.74
161,993.98
162,976.78
163,990.33
164,975.93
165,968.0
166,953.66
167,971.4
168,965.14
169,978.76
170,996.47
171,994.13
172,1006.51
173,1000.63
174,1001.81
175,1010.04
176,1024.45
177,1026.87
178,1028.7
179,1025.67
180,1038.95
181,1039.87
182,1052.8
183,1046.0
184,1020.04
185,987.78
186,996.19
187,995.89
188,986.92
189,987.58
190,992.27
191,989.84
192,982.01
193,956.92
194,967.99
195,983.3
196,982.74
197,978.18
198,960.57
199,958.47
200,953.29
201,966.9
202,958.0
203,952.45
204,945.26
205,946.02
206,954.06
207,967.59
208,980.6
209,978.25
210,965.27
211,967.8
212,979.47
213,965.9
214,977.96
215,982.58
216,999.6
217,992.21
218,986.79
219,974.19
220,969.86
221,973.21
222,964.65
223,955.1
224,939.79
225,938.6
226,950.87
227,956.4
228,961.35
229,959.19
230,957.1
231,965.45
232,980.85
233,989.58
234,990.99
235,987.2
236,995.0
237,1000.93
238,1002.94
239,1006.34
240,1009.13
241,997.0
242,986.61
243,982.91
244,966.3
245,975.9
246,972.91
247,972.43
248,1100.95
249,1110.85
250,1105.28
251,1103.68
252,1094.22
253,1111.6
254,1120.66
255,1123.17
256,1132.88
257,1129.13
258,1125.35
259,1129.17
260,1136.84
261,1126.69
262,1137.29
263,1129.88
264,1126.31
265,1139.49
266,1156.16
267,1186.0
268,1195.83
269,1193.6
270,1161.27
271,1176.75
272,1162.35
273,1133.95
274,1141.57
275,1152.35
276,1159.79
277,1162.0
278,1168.92
279,1165.08
280,1164.13
281,1174.26
282,1179.14
283,1190.58
284,1187.38
285,1177.62
286,1174.76
287,1168.36
288,1176.76
289,1182.26
290,1186.1
291,1169.47
292,1189.01
293,1204.2
294,1209.59
295,1229.14
296,1246.87
297,1252.7
298,1254.33
299,1276.68
300,1305.2
301,1304.86
302,1295.0
303,1293.32
304,1294.58
305,1327.31
306,1362.54
307,1357.51
308,1377.95
309,1402.05
310,1417.68
311,1437.82
312,1450.89
313,1390.0
314,1429.95
315,1390.0
316,1442.84
317,1416.78
318,1350.5
319,1339.6
320,1386.23
321,1414.51
322,1451.05
323,1461.76
324,1448.69
325,1468.35
326,1482.92
327,1485.34
328,1500.0
329,1521.95
330,1511.98
331,1512.45
332,1493.45
333,1500.25
334,1523.61
335,1537.64
336,1545.0
337,1551.86
338,1578.89
339,1598.39
340,1588.18
341,1591.0
342,1582.32
343,1571.68
344,1544.93
345,1586.51
346,1581.86
347,1544.92
348,1495.56
349,1555.86
350,1497.05
351,1431.42
352,1447.34
353,1371.99
354,1392.05
355,1410.57
356,1451.75
357,1405.23
358,1406.08
359,1436.22
360,1427.05
361,1448.5
362,1430.79
363,1441.5
364,1503.83
365,1527.84
366,1556.91
367,1527.49
368,1517.86
369,1460.09
370,1460.17
371,1517.96
372,1572.62
373,1566.13
374,1582.26
375,1569.68
376,1572.08
377,1580.95
378,1600.14
379,1592.39
380,1608.0
381,1609.08
382,1602.91
383,1601.54
384,1576.12
385,1587.28
386,1581.76
387,1574.37
388,1585.46
389,1581.4
390,1601.86
391,1603.07
392,1610.15
393,1612.87
394,1624.89
395,1629.62
396,1641.54
397,1665.27
398,1696.35
399,1695.75
400,1689.3
401,1683.99
402,1689.12
403,1698.75
404,1704.86
405,1723.86
406,1715.97
407,1723.79
408,1734.78
409,1750.08
410,1730.22
411,1715.67
412,1663.15
413,1691.09
414,1660.51
415,1701.45
416,1699.8
417,1713.78
418,1693.96
419,1699.73
420,1710.63
421,1739.02
422,1743.07
423,1755.0
424,1796.62
425,1813.03
426,1822.49
427,1843.93
428,1842.92
429,1812.97
430,1813.7
431,1802.0
432,1829.24
433,1863.61
434,1808.0
435,1817.27
436,1779.22
437,1777.44
438,1797.17
439,1834.33
440,1823.29
441,1847.75
442,1862.48
443,1886.52
444,1898.52
445,1886.3
446,1896.2
447,1919.65
448,1882.62
449,1886.52
450,1882.22
451,1876.71
452,1883.42
453,1904.9
454,1902.9
455,1905.39
456,1927.68
457,1932.82
458,1998.1
459,2002.38
460,2012.71
461,2039.51
462,1994.82
463,1958.31
464,1952.07
465,1939.01
466,1987.15
467,1990.0
468,1989.87
469,1970.19
470,1908.03
471,1941.05
472,1926.42
473,1944.3
474,1915.01
475,1934.36
476,1974.55
477,1974.85
478,2012.98
479,2003.0
480,2004.36
481,1971.31
482,1952.76
483,1909.42
484,1889.65
485,1864.42
486,1870.32
487,1755.25
488,1719.36
489,1788.61
490,1760.95
491,1819.96
492,1831.73
493,1770.72
494,1764.03
495,1789.3
496,1768.7
497,1664.2
498,1782.17
499,1642.81
500,1538.88
501,1530.42
502,1598.01
503,1665.53
504,1665.53
505,1627.8
506,1642.81
507,1755.49
508,1754.91
509,1712.43
510,1636.85
511,1631.17
512,1599.01
513,1619.44
514,1593.41
515,1512.29
516,1495.46
517,1516.73
518,1502.06
519,1581.33
520,1581.42
521,1677.75
522,1673.57
523,1690.17
524,1772.36
525,1668.4
526,1699.19
527,1629.13
528,1641.03
529,1643.24
530,1663.54
531,1658.38
532,1591.91
533,1520.91
534,1551.48
535,1495.08
536,1460.83
537,1377.45
538,1343.96
539,1470.9
540,1461.64
541,1478.02
542,1501.97
543,1539.13
544,1500.28
545,1575.39
546,1629.51
547,1656.58
548,1659.42
549,1656.22
550,1640.56
551,1617.21
552,1674.56
553,1683.78
554,1693.22
555,1696.2
556,1632.17
557,1640.02
558,1654.93
559,1670.57
560,1637.89
561,1593.88
562,1670.43
563,1718.73
564,1626.23
565,1633.31
566,1658.81
567,1640.26
568,1614.37
569,1588.22
570,1591.0
571,1638.01
572,1640.0
573,1622.65
574,1607.95
575,1627.58
576,1622.1
577,1619.44
578,1631.56
579,1633.0
580,1636.4
581,1641.09
582,1639.83
583,1671.73
584,1696.17
585,1692.43
586,1668.95
587,1625.95
588,1620.8
589,1670.62
590,1673.1
591,1690.81
592,1686.22
593,1712.36
594,1742.15
595,1761.85
596,1797.27
597,1819.26
598,1764.77
599,1774.26
600,1783.76
601,1765.7
602,1773.42
603,1780.75
604,1814.19
605,1813.98
606,1820.7
607,1818.86
608,1837.28
609,1849.86
610,1835.84
611,1847.33
612,1844.07
613,1843.06
614,1844.87
615,1863.04
616,1864.82
617,1861.69
618,1887.31
619,1923.77
620,1901.75
621,1902.25
622,1950.63
623,1938.43
624,1926.52
625,1911.52
626,1900.82
627,1962.46
628,1950.55
629,1921.0
630,1917.77
631,1899.87
632,1889.98
633,1822.68
634,1840.12
635,1871.15
636,1907.57
637,1869.0
638,1858.97
639,1857.52
640,1859.68
641,1815.48
642,1823.28
643,1836.43
644,1819.19
645,1816.32
646,1775.07
647,1692.69
648,1729.56
649,1738.5
650,1754.36
651,1804.03
652,1860.63
653,1863.7
654,1855.32
655,1870.3
656,1869.67
657,1886.03
658,1901.37
659,1908.79
660,1918.19
661,1911.3
662,1913.9
663,1878.27
664,1897.83
665,1904.28
666,1893.63
667,1922.19
668,1934.31
669,1939.0
670,1942.91
671,1952.32
672,1988.3
673,2017.41
674,2001.07
675,2011.0
676,2020.99
677,2009.9
678,1992.03
679,1977.9
680,1964.52
681,1985.63
682,1994.49
683,2000.81
684,1973.82
685,1943.05
686,1912.45
687,1898.53
688,1866.78
689,1855.32
690,1823.24
691,1765.13
692,1787.83
693,1793.4
694,1832.89
695,1807.58
696,1784.92
697,1824.34
698,1762.96
699,1776.12
700,1792.57
701,1816.12
702,1801.38
703,1823.54
704,1805.6
705,1749.62
706,1768.87
707,1761.83
708,1764.25
709,1786.4
710,1776.29
711,1789.84
712,1800.62
713,1840.72
714,1833.51
715,1831.35
716,1820.55
717,1822.99
718,1843.55
719,1839.34
720,1807.84
721,1822.55
722,1817.46
723,1821.5
724,1794.16
725,1785.3
726,1741.61
727,1768.33
728,1739.84
729,1725.45
730,1735.91
731,1735.65
732,1713.23
733,1724.42
734,1739.65
735,1732.66
736,1705.51
737,1721.99
738,1720.26
739,1731.92
740,1736.43
741,1767.38
742,1777.43
743,1787.48
744,1757.51
745,1785.66
746,1765.73
747,1762.17
748,1780.78
749,1761.33
750,1777.08
751,1762.71
752,1779.99
753,1776.66
754,1791.44
